"";"date";"julian_days";"year";"trip_number";"tag_id";"fork_length_mm";"weight_g";"latitude";"longitude"
"48";2021-06-29;180;2021;1;35;116;16;41,51748;-118,95763
"49";2021-06-29;180;2021;1;38;152;39;41,53139;-118,98865
"50";2021-06-29;180;2021;1;39;164;48,8;41,53205;-118,99329
"51";2021-06-28;179;2021;1;20;128;24,7;41,54123;-119,00474
"52";2021-06-28;179;2021;1;25;225;118,7;41,54094;-119,00442
"53";2021-06-28;179;2021;1;30;199;87,6;41,5431;-119,00681
"54";2021-06-28;179;2021;1;33;142;32,1;41,54327;-119,0071
"55";2021-06-28;179;2021;1;36;216;113,5;41,5431;-119,00681
"56";2021-06-28;179;2021;1;37;122;19,9;41,54319;-119,00708
"57";2021-06-28;179;2021;1;40;128;22,7;41,54123;-119,00474
"58";2021-07-07;188;2021;2;13;190;58,5;41,5055;-118,98013
"59";2021-07-07;188;2021;2;15;135;29,6;41,50314;-118,9791
"60";2021-07-07;188;2021;2;17;138;30,4;41,51582;-118,95726
"61";2021-07-07;188;2021;2;18;177;57,1;41,50288;-118,97883
"62";2021-07-07;188;2021;2;21;204;90,8;41,51205;-118,98548
"63";2021-07-07;188;2021;2;24;214;115,1;41,51319;-118,98618
"64";2021-07-07;188;2021;2;35;116;16;41,51748;-118,95763
"65";2021-07-06;187;2021;2;11;127;22,9;41,53173;-118,99396
"66";2021-07-06;187;2021;2;12;127;22,9;41,52699;-118,98556
"67";2021-07-06;187;2021;2;20;128;24,7;41,54129;-119,00484
"68";2021-07-06;187;2021;2;22;234;140,3;41,53194;-118,99344
"69";2021-07-06;187;2021;2;23;140;30,5;41,53291;-118,99072
"70";2021-07-06;187;2021;2;25;225;118,7;41,54097;-119,00445
"71";2021-07-06;187;2021;2;27;168;53,8;41,53304;-118,99126
"72";2021-07-06;187;2021;2;28;197;80,7;41,53212;-118,99546
"73";2021-07-06;187;2021;2;30;199;87,6;41,54302;-119,00677
"74";2021-07-06;187;2021;2;33;142;32,1;41,54324;-119,00706
"75";2021-07-06;187;2021;2;34;178;60,7;41,54153;-119,00529
"76";2021-07-06;187;2021;2;36;216;113,5;41,54302;-119,00677
"77";2021-07-06;187;2021;2;37;122;19,9;41,54324;-119,00706
"78";2021-07-06;187;2021;2;38;152;39;41,53172;-118,98888
"79";2021-07-06;187;2021;2;39;164;48,8;41,53209;-118,99329
"80";2021-07-20;201;2021;3;13;190;58,5;41,51041;-118,98359
"81";2021-07-20;201;2021;3;15;135;29,6;41,50307;-118,97906
"82";2021-07-20;201;2021;3;18;177;57,1;41,50281;-118,97882
"83";2021-07-20;201;2021;3;21;204;90,8;41,51202;-118,98544
"84";2021-07-20;201;2021;3;24;214;115,1;41,51332;-118,98614
"85";2021-07-19;200;2021;3;12;127;22,9;41,52697;-118,9856
"86";2021-07-19;200;2021;3;17;138;30,4;41,51582;-118,95726
"87";2021-07-18;199;2021;3;20;128;24,7;41,54123;-119,00479
"88";2021-07-18;199;2021;3;22;234;140,3;41,53193;-118,99347
"89";2021-07-18;199;2021;3;23;140;30,5;41,53292;-118,99075
"90";2021-07-18;199;2021;3;25;225;118,7;41,54096;-119,00443
"91";2021-07-18;199;2021;3;28;197;80,7;41,53236;-118,99571
"92";2021-07-18;199;2021;3;33;142;32,1;41,54292;-119,00645
"93";2021-07-18;199;2021;3;34;178;60,7;41,54155;-119,00527
"94";2021-07-18;199;2021;3;36;216;113,5;41,543;-119,00671
"95";2021-07-18;199;2021;3;39;164;48,8;41,53207;-118,99332
"96";2021-07-28;209;2021;4;13;190;58,5;41,51036;-118,98363
"97";2021-07-28;209;2021;4;15;135;29,6;41,50306;-118,97906
"98";2021-07-28;209;2021;4;17;138;30,4;41,51582;-118,95726
"99";2021-07-28;209;2021;4;18;177;57,1;41,50284;-118,97884
"100";2021-07-28;209;2021;4;21;204;90,8;41,51201;-118,98544
